champion_type: ,team A,team B,time,score
الدوري المصري,الأهلي,المقاولون العرب,21:00,0 - 0
الدوري المصري,بيراميدز,زد,21:00,0 - 0
أولمبياد باريس 2024 - كرة اليد,السويد,اليابان,10:00,39 - 0
أولمبياد باريس 2024 - كرة اليد,مصر,الأرجنتين,12:00,0 - 0
أولمبياد باريس 2024 - كرة اليد,ألمانيا,سلوفينيا,15:00,0 - 0
أولمبياد باريس 2024 - كرة اليد,المجر,فرنسا,17:00,0 - 0
أولمبياد باريس 2024 - كرة اليد,الدنمارك,النرويج,20:00,0 - 0
أولمبياد باريس 2024 - كرة اليد,إسبانيا,كرواتيا,22:00,0 - 0
مباريات ودية -أندية,مانشستر سيتي,تشيلسي,00:30,4 - 0
مباريات ودية -أندية,برشلونة,ريال مدريد,02:00,2 - 0
مباريات ودية -أندية,مانشستر يونايتد,ليفربول,02:45,0 - 0
